name,url,total_views
Google,https://www.google.com,520726800000.0
YouTube,https://www.youtube.com,235813200000.0
Facebook,https://www.facebook.com,223015700000.0
Yahoo,https://www.yahoo.com,125654400000.0
Wikipedia,https://www.wikipedia.org,44673640000.0
Baidu,https://www.baidu.com,44097590000.0
Twitter,https://twitter.com,30986760000.0
Yandex,https://yandex.com,28579800000.0
Instagram,https://www.instagram.com,26215200000.0
AOL,https://www.aol.com,23212320000.0
Netscape,https://www.netscape.com,5750000.0
Nope,https://alwaysfails.example.com,0.0
